Name,Country,Fuel Type,Basin,Power Capacity (MW),Latitude,Longtitude,Collection ID,L1,L2,L3,L4,L5,L6,L7,L8
Dongguan Humen Gas power station,CN,gas,pacific,300,22.815288,113.624786,d1b01ddb-dc08-41b8-8798-1963482baf82,113.628232,22.818464,113.62134,22.812112,113.62134,22.818464,113.628232,22.812112
Dongguan Zhongdian New Energy Thermal power station,CN,gas,pacific,1300,22.975775,113.828442,f7257680-8213-4e6d-9f57-32cc21ca453a,113.831892,22.978951,113.824992,22.972599,113.824992,22.978951,113.831892,22.972599
Dongguan Zhongming Gas power station,CN,gas,pacific,360,22.972014,113.845928,dd10ce63-701e-4652-a69d-a58adc5d99b2,113.849378,22.97519,113.842478,22.968838,113.842478,22.97519,113.849378,22.968838
Dongguan Zhongtang Gas Thermal power station,CN,gas,pacific,1840,23.113609,113.66788,fc29d3e8-6536-44f0-9ad5-dd90f81956d4,113.671333,23.116785,113.664427,23.110433,113.664427,23.116785,113.671333,23.110433
Dongtan 2 CHP power station ,KR,gas,pacific,800,37.1755,127.0927,97afa0b2-2279-42ba-8f3b-878971328bc0,127.096686,37.178676,127.088714,37.172324,127.088714,37.178676,127.096686,37.172324
East Asia Power Wuxi Gas power station,CN,gas,pacific,800,31.695354,120.465971,35aefa27-bd4c-4cce-9f85-a6236fdca7a4,120.469704,31.69853,120.462238,31.692178,120.462238,31.69853,120.469704,31.692178
Foshan Funeng Gas power station,CN,gas,pacific,360,23.038279,113.04771,6298bc99-bc36-4611-a49c-91be285548e6,113.051161,23.041455,113.044259,23.035103,113.044259,23.041455,113.051161,23.035103
Funamachi power plant,JP,gas,pacific,149,34.62963,135.4575,caa5f443-1ac8-4286-8164-85487fd021fe,135.46136,34.632806,135.45364,34.626454,135.45364,34.632806,135.46136,34.626454
Futtsu thermal power station,JP,gas,pacific,5333,35.34471,139.8349,39db960b-f6b4-4012-b8d1-a2760fc62a67,139.838794,35.347886,139.831006,35.341534,139.831006,35.347886,139.838794,35.341534
Gaojing power station,CN,gas,pacific,700,39.940993,116.124474,49f00a0c-9462-4268-abe3-04e3b82f2c0f,116.128617,39.944169,116.120332,39.937817,116.120332,39.944169,116.128617,39.937817
GCL Gaozhou Distributed Gas power station,CN,gas,pacific,150,21.825063,110.836366,6cfe680c-02e9-4018-84a7-56d2aecbe060,110.839787,21.828239,110.832945,21.821887,110.832945,21.828239,110.839787,21.821887
GCL Guangzhou Lantian Gas Thermal power station,CN,gas,pacific,360,23.212501,113.572592,f6266e65-b171-4da0-acfe-df1df90dbf4f,113.576048,23.215677,113.569136,23.209325,113.569136,23.215677,113.576048,23.209325
GCL Kunshan Lantian Distributed Gas power station,CN,gas,pacific,120,31.447321,120.903723,626ad0d8-2683-4072-9f91-68b837b94496,120.907446,31.450497,120.9,31.444145,120.9,31.450497,120.907446,31.444145
GCL Nanjing Lantian Gas Thermal power station,CN,gas,pacific,400,31.881775,118.83744,92da8532-235f-468a-940b-3973896eb956,118.84118,31.884951,118.8337,31.878599,118.8337,31.884951,118.84118,31.878599
GCL Qinzhou Zhongma Distributed Gas power station,CN,gas,pacific,150,21.756051,108.668202,ad1b952a-22eb-417c-addf-91800df60ae4,108.671622,21.759227,108.664782,21.752875,108.664782,21.759227,108.671622,21.752875
GCL Suzhou Economic Zone Lantian Gas Thermal power station,CN,gas,pacific,360,31.300607,120.799921,a851835f-7d8e-410d-83b8-53e15c181c28,120.803638,31.303783,120.796204,31.297431,120.796204,31.303783,120.803638,31.297431
GCL Suzhou Economic Zone North Gas Thermal power station,CN,gas,pacific,360,31.332014,120.655939,2c8bfaef-cc6c-46e1-a794-6c0db4ac747c,120.659657,31.33519,120.652221,31.328838,120.652221,31.33519,120.659657,31.328838
GCL Wuxi Lantian Gas Thermal power station,CN,gas,pacific,400,31.580909,120.417291,4db53b14-a8e7-4309-9090-24b9f32a89c3,120.421019,31.584085,120.413563,31.577733,120.413563,31.584085,120.421019,31.577733
Guangzhou Pearl River LNG power station,CN,gas,pacific,780,22.814326,113.5654,528d32fa-3d7f-4d7a-a8f9-3fc5197cbd69,113.568846,22.817502,113.561954,22.81115,113.561954,22.817502,113.568846,22.81115
Guangzhou University City Distributed Gas power station,CN,gas,pacific,156,23.023378,113.398392,cca4bb99-da94-4236-9236-4bc31ce47740,113.401843,23.026554,113.394941,23.020202,113.394941,23.026554,113.401843,23.020202
Gunsan CC power station ,KR,gas,pacific,718,35.9836,126.7307,07331937-62c4-4c68-9857-cdfba38e4e7e,126.734625,35.986776,126.726775,35.980424,126.726775,35.986776,126.734625,35.980424
